,id,name,description,languages,publisher
28,1dX2DP25a9FS1larQotxAb,Financial Planning For Canadian Business Owners,"Business owners live complex lives. You have traded the stability of working for someone else, for the uncertainty of controlling our own destiny. Whether you are starting your own business, scaling it, or planning your exit, you face challenges that the average person never has to face. Ensuring that you make the most of your business means not just being the best at what you do, but figuring out all the other complexities that come with it, and that will mean finding people that will help give you the right advice.The Financial Planning for Business Owners Podcast is here to help guide you regardless of the stage of your business. Each week we interview experts from various fields to help you become aware of what good advice looks like. From setting up your corporate structure to selling your business we tackle both the technical and personal considerations impacting all of your decisions. We can’t make you better at what you do, but we can help you benefit the most from the fruits of your labours.  See acast.com/privacy for privacy and opt-out information.",['en'],Jason Pereira
29,5CteAGvyWcovE3g6XOjVS3,Financial Freedom,"Money is unlimited. Time is not. Become financially independent as fast as possible. On Financial Freedom we interview remarkable people and share strategies for mastering money and living a meaningful life. Topics include personal finance, investing, side hustling, real estate, entrepreneurship, early retirement, an more. Hosted by Grant Sabatier, author of Financial Freedom.",['en'],Grant Sabatier
30,6WQQLZdboT0222zRkQ6sSI,Journey To Launch- Personal Finance,"Jamila Souffrant is a Certified Financial Education Instructor (CFEI), blogger, podcast host and money coach. She is the founder of www.journeytolaunch.com. As a money expert who “walks her talk” she helps brave Journeyers; gain clarity around their finances and create an actionable plan to reach their goals.",['en'],Journey To Launch
31,3gb5XO5CbSn4ouIgRRYFoN,Personal Finance South Africa,"This Podcast discusses your financial options. With the primary purposes to help you attain financial freedom by giving you tips about money, financial products, wealth and career advancement. Amongst other things, we compare finance service providers and financial products like credit cards, bank accounts and loans.",['en'],Rateweb
32,43a0a8riEZsuvIpmmNKRPU,"Mr Africa , your personal finance advisor",This podcast is all about helping the african youth and diaspora with guidance and tips that they can relate to in order to achieve financial freedom,['en'],Mr Africa Your Personal Finance Advisor
33,5AjnvxZb6ZScoI6KCV0hxo,Financial Independence Podcast,Join the Mad Fientist as he interviews the brightest people in personal finance to discover the strategies and tactics they used to achieve financial independence and retire early!,['en'],Mad Fientist
34,3x0KIfFYItnhnrKKjBYZkd,Retirement Explained: The Personal Finance Show,"The Retirement Explained Show is a personal finance podcast brought to you by practicing financial advisor Brian Rasmussen. The show is dedicated to helping you navigate financial planning and covering topics such as retirement planning, estate planning, education savings, saving money on taxes, preparing for the unexpected and much more. Find out more at www.rasmussenadvisors.com.",['en'],Brian Rasmussen
35,453DFwae3B8OgQwnRe7NvT,The Australian Financial Focus,"Financial awareness and money issues are often pushed to the bottom of our to-do lists. In Australian Financial Focus we talk to financial experts and everyday people who share ideas and tips for making your finances a focus - and moving you closer to your financial goals.  Barry Wilkinson is the Statewide Wealth Group  /Director and Principal Mortgage Broker- https://www.statewidewealthgroup.com.au and has been a successful and motivated Mortgage Broker since 2004.  A strong lateral thinker, Barry values professionalism, accountability, work ethic and loyalty. Barry displays dedication to superior customer service, and recognises the importance of ongoing communication throughout the loan process. Barry’s services include negotiating the best deal for his clients and continuing to build relationships and providing further support, throughout the life of a loan.  With several years’ experience in the industry and a vast knowledge of lending products, Barry takes on a holistic approach with his clients to make choices that are well suited to their personal situation.  Barry is passionate about working with his clients to achieve their financial goals in life.  Get in touch with Barry through https://www.linkedin.com/in/barry-wilkinson-81507a28/ ",['en'],Barry Wilkinson
38,51BxddTqep9w8nEYh2I0PD,The Allied Health Financial Podcast,"Personal finance education and evidence based financial information for allied health professionals.  Over the years you have spent countless hours mastering your skills to ensure your patients receive the best care possible.  Financial literacy and your personal wealth deserve the same level of attention and care.  From formulating a budget and developing an emergency fund to paying down debt and investing, we cover it all.  We are two members of the allied health community, and we began our personal finance journey 6 years ago.  After recognizing the lack of personal financial know how in the health care community, we got to work.  We have put together all the information needed to make informed decisions, and resources to execute those decisions, all in the context of today’s health care worker.  We hope you enjoy and learn!",['en'],alliedhealthfinancial
40,0aTm6LXx902TTSogM5Tepn,The Personal Finance Show,The Personal Finance Show is a place for people to tell their personal finance stories.  Everyone has a personal finance story.,['en'],Beau Humphreys
41,6E3Dy4JpKAcFfFzHzug1Go,Techie Personal Finance Bootcamp,"I help tech employees use their finances to create the life of their dreams by helping you take your financial confidence to the next level!Are you a tech employee who wants to learn how to better manage your finances?Working in tech you may experience extreme pay increases, which may allow you the ability to accomplish goals you've only dreamed of. However, if mismanaged, you can also find yourself stressed out and under pressure to increase your income in order to fit your lifestyle.The good news, is through education and a little bit of determination, you have the power to control your future and create your best life.Not only will we cover basic personal finance concepts, but we'll dive deep into tech specific benefits and issues that I regularly help my clients build strategies to maximize. (Examples: working for start ups, restricted stock units, stock options, and layoffs) Also, on a regular basis, I will have special guests that will highlight their stories with unique stories about their tech experiences.",['en-US'],Lucas Casarez CFP®
45,7AURZ898TO93WIJw1dqhWf,Broke Millennial Finance Podcast,"The Broke Millennial Finance podcast is here to help meet your financial needs! The host Mohamad Khan and Co-host Fahad Jameel share their personal experience to provide real life examples on how to invest in yourself as well as your financial future. They discuss a wide variety of topics such as real estate, stocks, saving accounts, mortgages, mutual funds, and much more! The goal here is to teach and improve your financial knowledge so that you may become financially independent! Subscribe today to get on board the Broke Millennial Train!",['en'],BrokeMillennialFinance
46,39bSKc5WQuwl4fqTM9cAWU,Know Your Finances,Conversation between a layman and a professional to understand and handle basic personal finances.,['en'],Dailyheed
48,41Jr8zIQ8igIsG3tkToheU,Financially Frank,I have 10 years of investing experience. This is my journey through the world of investing and personal finance. ,['en'],Financially Frank
50,6u9tRV7nDlwKD0chrplauG,Easy Peasy Finance for Kids and Beginners,"Fun, informative and concise episodes by a 10-year old, breaking down complex financial concepts in a way that kids and beginners can understand. Episodes cover personal finance topics like saving, investing, banking, credit cards, insurance, real estate, mortgage, retirement planning, 401k, stocks, bonds, income tax, and more, and are in the form of a conversation between a cowboy (a finance novice) and his friend, a stock broker. Making finance your friend, only at Easy Peasy Finance.  A little bit about me: I have been fascinated with the world of personal finance since I was 6! I love to read personal finance books, and keep myself updated on the latest by reading various personal finance magazines. My friends often ask me questions about finance because they find it complex and intimidating. That’s what inspired me to start my YouTube channel called Easy Peasy Finance when I was 8, and this podcast 2 years later.",['en'],Easy Peasy Finance
51,6MlcFCAJR1eqtKQelr6AzG,Muslim Women and Finance,"Each episode we discuss topics on personal finance, economics, and have candid conversations on issues important for Muslim Women.  This is a podcast by Muslim Women for Muslim Women.  Join our conversation as we take you through our experiences and share our thoughts!  Feel free to reach out to us with thoughts, comments and questions at muslimwomenandfinance@gmail.com! ",['en'],Lisa H and Amera E
52,4tXBOYY0WQbP4UQoj57gE6,Little Saves Podcast on Personal Finance,"A podcast that teaches you how to save better, bringing a fresh perspective into Financial Independence and Retire Early for Indians. You will hear content on improving your personal finance, FIRE, earning passive income, side income from freelancing and other deals, reviews and opportunities. Subscribe for updates, it is safe and worth your time!",['en'],Abhi M
53,6036gj9sD6BHufQTE4XlUw,The Financial Freedom Show with Chase Lawson,"Welcome to The Financial Freedom Show with Chase Lawson. Chase is the bestselling author of the book ""Financial Freedom: Breaking the Chains to Independence and Creating Massive Wealth"". This is a show geared towards anyone looking to get a leg up on their personal finances. Personal finance doesn’t have to be complicated and Chase is here to help make sure it isn’t.  This channel is an extension of the lessons from the book and is a journey through all topics both personal finance related as well as general success, health and strategy topics. Chase has personally overcome over $23,000 of personal credit card debt and a credit score in the 500s to being a homeowner with two houses, multiple income streams and a credit score in the high 700s. With each episode, he’ll help you learn and apply the principles to achieve your own financial goals, dreams and aspirations.",['en'],Chase Lawson
55,6UQLb2UzNSkqSFE0I4Dw5i,Smart Finances For High-Achieving Moms,"One Take: The Podcast. Seeking simple, healthy, and happy living one take at a time. Lifestyle, Blogging, Self Improvement, Personal Growth, Entrepreneurs",['en'],Yezmin Thomas
56,4y6LTdxKvLFD0twaLpdlhq,MoneyTalk Radio Finance Podcasts,"Follow Fidelity experts wherever you are with Fidelity's finance podcasts - MoneyTalk Radio. Each week in Market Week and MoneyTalk - our two finance podcasts - we explore the key issues in personal finance, investing, financial news, stock markets and economics. Please remember that the value of investments, and the income from them, can go down as well as up, so you may get back less than you invest. The views expressed may no longer be current and may have already been acted upon and is not a personal recommendation for any particular investment. If you are unsure about the suitability of an investment you should speak to an authorised financial adviser. ",['en-US'],Fidelity International
58,48gBvvITKeSVDLmg35ooQx,Financial Bunny Money Vibes,"Honest, Candid and Uncensored Rambles about Money and how integrated it is in our lives. Some personal finance tips, some clever money strategies but all in all Money Vibes",['en'],Nicolette Mashile - Financial Bunny Gym
59,58yUyT6HyKAZqoDxrWN4e1,"Entrepreneur @ Money – Money FM Radio – ""Your Business & Personal Finance Radio""",Looking various aspects of entrepreneurship.,['en-US'],"Entrepreneur @ Money – Money FM Radio – ""Your Business & Personal Finance Radio"""
61,2zCqujGj6lX7gOzYTq2gS2,Dolphin Financial Radio,"Have fun planning your retirement!  This is a fun and conversational show with a focus on retirement planning issues.  Dan Wendol and his co-host Tony keep a down-to-earth tone as they address topics like retirement income, healthcare costs, investing, pensions, retirement lifestyles, insurance, Social Security and many other financial topics.  Dan Wendol shares his tips and experience as a fiduciary retirement planner and owner of a Registered Investment Advisor.  His personal belief is that a successful retirement is about increasing income and decreasing stress.  Sometimes special guests will join in to discuss the big-picture aspects of preparing for, and living in, retirement.  For more about Dan Wendol and his work, to see videos, or learn more about this show, visit www.dolphinfinancialgroup.com.",['en'],Dan Wendol
62,6RY7rbKk7E2GAbuZFum96h,Inglorious Finance,"Financial advisors Mike Macco & Patrick Stoa educate, inform and entertain listeners on all aspects of personal finance.",['en'],Michael Macco & Patrick Stoa
63,7LStSSMVsvQkYA9aJEp095,Concord Advisors Financial Experience,"Financial Advisor Ted Hoornstra and cohost Jon ""JAG"" Gay talks about personal finance and planning, how current events affect your bottom line, and how we can leverage technology in managing our money.",['en'],Ted Hoornstra
64,6XIoYOoof4L67JeXG20MnD,S9 Financial Planners Podcast,"Personal Finance, Wealth Management, Financial Behaviour, we at S9 Financial Planners discuss everything in detail. This podcast will help you to educate every aspect of finance which many dont talk about. Website: https://s9financialplanners.com/",['en'],S9 Financial Planners
66,09plB6PuKMBRFVNzCudc7c,Finance Matters With Leago,"A developmental podcast by Leago Papo with a primary objective of educating consumers and small business owners on how to manage personal and organizational finances, create lucrative investments and curb excessive spending.   Views expressed are my own. Information contained herein does not constitute financial advice. ",['en'],Leago Papo
67,07FVI8Kcaf8tsP2xM0NIVO,The Australian Financial Focus,"Financial awareness and money issues are often pushed to the bottom of our to-do lists. In Australian Financial Focus we talk to financial experts and everyday people who share ideas and tips for making your finances a focus - and moving you closer to your financial goals.  Barry Wilkinson is the Statewide Wealth Group  /Director and Principal Mortgage Broker- https://www.statewidewealthgroup.com.au and has been a successful and motivated Mortgage Broker since 2004.  A strong lateral thinker, Barry values professionalism, accountability, work ethic and loyalty. Barry displays dedication to superior customer service, and recognises the importance of ongoing communication throughout the loan process. Barry’s services include negotiating the best deal for his clients and continuing to build relationships and providing further support, throughout the life of a loan.  With several years’ experience in the industry and a vast knowledge of lending products, Barry takes on a holistic approach with his clients to make choices that are well suited to their personal situation.  Barry is passionate about working with his clients to achieve their financial goals in life.  Get in touch with Barry through https://www.linkedin.com/in/barry-wilkinson-81507a28/ ",['en'],Barry Wilkinson
68,5q0UDSXIzU3I8Uso4TvWC2,Financial Sense(R) Newshour,"Begun in 1988, Financial Sense(R) Newshour is a financial market broadcast hosted by money manager James J Puplava, CFP, on the week's market action, interviews with financial experts, and Jim's personal perspective on the markets/economy.",['en'],Jim Puplava
71,0tRvVIkROUcSHIKLvs3aiw,The Financial Samurai Podcast,"Helping listeners achieve financial freedom sooner rather than later. Financial Samurai is America's number one personal finance  blog and podcast helping you make more money, save more money, and live the life that you truly want.",['en'],"Sam Dogen: Financial Samurai founder, personal finance blogger"
72,6H1heFtFg4oTCB23jd1840,Financially Ever After,"Welcome to Financially Ever After, where award-winning, and nationally recognized financial expert, Stacy Francis, will bring you savvy tips and words of wisdom on how to secure your financial future before, during and after divorce. For 30 minutes, every other week, you'll hear personal stories from women who have either faced or are currently facing this transition. In addition, you will soak up knowledge and inspiration from the industry’s top legal, financial, residential and mental health professionals.",['en'],Stacy Francis
74,4ld994TMJU9wghEtw0gjeP,Home Loans Made Easy with Your Mortgage Person,"Owning a home isn’t as hard or as mysterious as some people think. However, navigating the world of mortgage finance can feel daunting and overwhelming so I’m here to help guide you through.  My name is Shauna Ratapu and I am currently a Mortgage Consultant with The Bell Group powered by Citizen’s Financial. I have discovered that a lot of people don’t really understand the mortgage process or worse, they feel that home ownership is and always will be out of their reach.  I am here to say that Anything is Possible! And I want to show you how!",['en'],Shauna Ratapu
75,66QMEOtzJ9goENwNlx9T4L,The Whole Person Podcast,"The Whole Person Podcast is about an entrepreneur's journey of becoming a whole person and living a life of significance in the areas of life that matter most. Faith-Family-Finances-Friendship-Fitness-Fun. My entire life, I have wanted to be a high performing person with the success and accolades that go with it. While I was on this idealistic pursuit, I found out that not only was it harder than I realized but because my life did not look like what I had pictured In my head, I resented what I had as if it was not enough. I felt like a failure in every area of my life. All I could see where my shortcomings instead of the areas that I did have success. I realized I needed to change and that I need help both mentally and emotionally. I wanted to heal in my image and self-worth. So I began this journey of finding out what it means to live life as a whole person. I am on this journey of learning what real-life success looks like and loving myself through the process of change and becoming more grateful for what I already have as I live a life of significance in the areas that matter most.",['en'],Evan Herrman
76,1ZGWd1utP61a0crtjvoOlq,Personal Finance for PhDs,"As a PhD, you face unique money challenges that stem from your low stipend/salary during your years of graduate school and postdoc training. Listen here for the hard-won financial wisdom of your fellow graduate students, postdocs, and PhDs with Real Jobs. From budgeting and frugality to investing and debt repayment, this podcast is your higher education in personal finance.",['en'],Emily Roberts
78,59U0rVDaiC3DRximuv3Jzr,OMG My Money Personal Finance and Sports Cards,"OMG My Money of omgmymoney.com is a community focused on those interested in personal finance, side hustling, and sports cards to help you become more financially comfortable. This podcast was created to help others and to build a community of like minded individuals who are interested in learning and giving back. Becoming debt free, budgeting, general investing, making extra income, digital marketing, leadership, business management, and real estate to help you with more options to improve your personal and professional life.",['en'],OMG My Money Dot Com
80,6p3FOcmrAy77qzhYc8er2X,Anmol Mantra On Financial Planning,Financial Planning is a very important element in our lives. As this would help us to manage our personal finance so that we are able to achieve all our financial goals in our lives. A few small steps can help you fulfill your goals.,['en'],Anmol
81,3qhoiTcS4Meudzaf7jZDgn,Irish Personal Finance,"Featuring Ireland's leading personal finance journalist Jill Kerby, we will help you understand and implement sound personal finance principles in an Irish context.",['en'],Jill Kerby
82,47R0LykZr4uNm4eFtLRyxo,Wealth Talk - Financial Opportunities,"Have a financial question you want answered?  Need to protect and grow your assets?  Want a fresh direction in your investment journey?  Wealth Talk is here to guide you every step of the way.  We publish new episodes most Fridays. Join here to receive updates and send in your questions:  https://www.wealthmorning.com/subscribe  This is our exclusive webinar and radio show, featuring our diverse panel of experts, exploring the most critical trends right now in stocks and property.  We broadcast from the safe haven of Auckland, New Zealand, reaching a global audience — giving you the chance to tune in, listen, and contribute to an exciting discussion that may make the biggest difference to your wealth.  [Disclaimer: All questions submitted will be answered generally with priority given to registered Lifetime Wealth Investor members. No personalised financial advice will be provided.]",['en'],Simon Angelo
85,50jE6HvOvzOoW1IJ63WQWP,Personal FInance Unfiltered Podcast,"Personal Finance Unfiltered is a weekly podcast where our goal is to educate and enlighten to the personal finance world.  We'll point out the bullshittery and help you navigate around it.  Eric Gaddy retired from the financial advising world after a 24 year career at the age of 48.  He is the author of the book ""Retire Early What are you waiting for?""",['en'],Eric Gaddy
86,1pejFRw08C4KdTn9xuMxkn,Main St. Finance,"Main St. Finance is here to take personal finance and Wall Street investing and break it down to its basics so that all people can achieve an advanced understanding of the American financial system. You can then use that knowledge to better take control of your finances to manage budgeting, taxes, investments, retirement, and more.",['en'],Alex From Main St Finance
88,1dRSvzH4wFXPNFvS0jbdE6,LifTED Finance Podcast,Welcome to the LifTED Finance Podcast hosted by Nike Adetoye; the CEO and Founder of LifTED Finance Consulting Ltd.   This podcast will focus on Personal Finance and Entrepreneurship.  My goal with this podcast is to help you accomplish your financial goals and support you on your journey to Financial Independence.   Thanks for tuning in!  Follow LifTED Finance on: Instagram - http://www.instagram.com/liftedfinance/  Facebook – http://www.facebook.com/liftedfinanceconsultingltd/  Twitter – http://www.twitter.com/FinanceLifted/  Website – https://www.liftedfinance.com/ ,['en-GB'],LifTED Finance Consulting
89,7J0jJwXxn4sRz5MUhlsrIH,Dirty Money - Cut Through the Fluff of Personal Finance,Dive into the web's dumpster of money making and saving information and find the real hidden treasures. Support this podcast: https://anchor.fm/dirtymoney/support,['en-US'],Todd Weitzman
91,6kK6we2SRFTaJsEosQlLfc,Making Money Personal,Engaging in real talk about financial matters that affect your life.,['en'],Triangle Credit Union
92,4ooS1FeHMWEqcfFBDwERZ3,"Finance, Fulfilment & The Future","This podcast is designed to help you get your finances working for you, taking the stress away from money and investing, get you more fulfilment out of your life and your work and set you up for a future of peace. Hosted by Ryan Derry a personal finance expert that has qualifications and time in the trenches to match he will walk you through everything that is on your mind and give you the playbook, strategies and map to get your life heading in the direction that you want it to head.",['en'],Ryan Derry
93,6WQqz0sirYFnpV94QBFz2W,Financial Pro Podcast,"From motivation to mindset, personal branding to perseverance, you will learn tried and tested ways to generate leads, increase your sales and build a strong lifestyle business. The winner of Mortgage Strategy’s Best Small Broker 2019 and owner of Active Mortgage, Gary Das takes you on an entrepreneurial journey of education, inspiration, and motivation to help you become a Pro of your industry!",['en'],Gary Das
94,24TYnFJwqUCVapmEa8uUFh,Chasing Financial Independence ,"Former Military Professional who became aware of the FI Community and have officially started Chasing Financial Independence. This Podcast is about Personal Finance, Life Style, Education, Motivation and Inspiration. ",['en'],Raul Dinzey
95,0bL9RSOBLDfllTQNRkPcAQ,Simple Money Podcast - Canadian Personal Finance,"A fun and exciting personal finance podcast that gets to the point! Join Personal Finance Expert and Educator, Matthew Siwiec as he explores what matters to you and investigates how current events will affect your finances.  With a Canadian focus and short episodes, we’ll venture through topics like budgeting, debt, investing, housing, retirement, and much more.  We’ll also directly answer questions from you the listener! Simply email info@ffcoach.ca or visit www.ffcoach.ca  See you in the digital realm!",['en'],Matthew Siwiec: Personal Finance Expert and Educator
97,5eKsYzSemWDLIQhSwezJyc,Financial Decoder,"Cognitive and emotional biases can have a big impact on your financial life. Each episode of Financial Decoder looks closely at one financial decision--and the biases that might cloud your judgment and cost you money. Host Mark Riepe, head of the Schwab Center for Financial Research, decodes the behavioral and psychological factors at play and shares strategies designed to improve the way you approach financial crossroads. Other experts join Mark to provide their unique perspective on behavioral economics, portfolio management, retirement planning, personal finance and more.  Podcasts are for informational purposes only. This channel is not monitored by Charles Schwab. Please visit schwab.com/contactus for contact options.",['en'],Charles Schwab
98,18v5IlOyPBmSBHmNpNnAH2,Brown Guy Talk Finance,"Yuvarajan Periyan is a millennial aspiring to be a licensed financial planner and works with a licensed financial planning firm in Malaysia where he ensures that his clients are on track of achieving personal financial goals by educating them and making them financially literate. 84% of millennials are said to be illiterate with personal finance. This is because rarely there is rarely a platform to educate them on this. This is where Yuva comes in, to educate fellow millennials about personal finance. Here the topic of personal finance will be kept Layman, so everyone and anyone that tunes in can understand.",['en'],Yuvarajan Periyan
99,00XQ4YJYtL2KXoh8mxtzAI,Yo Quiero Dinero: A Personal Finance Podcast For the Modern Latina,"Yo Quiero Dinero is a personal finance podcast for the modern Latina, hosted by Jannese Torres-Rodriguez, creator and CEO of DelishDlites.com, a Latin food blog. While working her way up the corporate ladder as an engineer, she's become an expert on topics like running a successful small business, investing with a purpose, and creating generational wealth. She is passionate about educating women, and especially Latinas, about the powerful ways that money can be used to manifest the life of your dreams, build a multi-generational legacy, and secure financial freedom and independence.  Support this podcast: https://anchor.fm/yoquierodinero/support",['en'],Jannese Torres-Rodriguez
100,5BeTjxzzPPT6bqiYRex5Dh,TakeFin Finance Podcast,"Takefin is the solution to your financial management needs. Takefin provides you the Best Personal & Business Expense Tracker App. This Smart Finance Tracker App allows you to add, track, and monitor finance for small business enterprises and individuals effortlessly. It is ideal for both business and personal finance tracking. Takefin Expenses Tracker App allows an individual, as well as small businesses for quick analysis and tracks, expenses more effectively.",['en'],Hayat
101,18Vyjqh25numiHvQBT1Yce,"FINANCIALLY/COVERED ... a podcast for insurance agency owners, their money, and their profits.",FINANCIALLY/COVERED gives insurance agency owners the tools to: - Gain (or regain) the love for what they do. - Spend more of their work week on activities that they enjoy doing. - Increase revenue streams. - Manage staff effectively. - Navigate all of the complex issues that business owners face. - Make educated financial decisions (both business and personal),['en'],David Chudyk
